rule_id,rule_name,rule_type,threshold_value,weight,severity_level,recommendation_text
1274,Tense Consistency,grammar,85,0.22,Low,Use past tense for all previous positions
1275,Experience Date Format,formatting,3,0.18,Low,Include both start and end dates for each role
1276,Summary Section Length,formatting,33,0.31,Medium,Keep professional summary to 3-4 sentences maximum
1277,Tense Consistency,grammar,88,0.93,Low,Use present tense only for current role
1278,Personal Pronoun Usage,grammar,5,0.45,Medium,"Remove all first-person pronouns (I, me, my)"
1279,White Space Ratio,formatting,38,0.69,Low,Maintain 20-30% white space for readability
1280,Certification Listing,content,10,0.08,Low,Include certification ID or verification link
1281,Experience Date Format,formatting,1,0.26,Medium,Include both start and end dates for each role
1282,Summary Section Length,formatting,38,0.39,Medium,Include 2-3 key achievements in your summary
1283,Summary Section Length,formatting,74,0.4,Low,Summary should be 50-80 words for optimal impact
1284,Experience Date Format,formatting,1,0.45,Low,Use consistent date format (Month Year - Month Year)
1285,Bullet Point Length,formatting,23,0.24,Medium,Shorten overly long bullets to focus on key results
1286,Hyperlink Validation,formatting,0,0.94,Medium,"Include LinkedIn, portfolio, or GitHub links"
1287,Keyword Density,content,19,0.43,High,Don't keyword-stuff — maintain readability
1288,Gap Analysis,timeline,3,0.18,Critical,Use functional format if gaps are significant
1289,Section Order,structure,6,0.99,Medium,Lead with Summary/Profile section for immediate impact
1290,Section Order,structure,4,0.33,Medium,Put Skills section near the top for ATS optimization
1291,Relevance Score,content,42,0.16,Medium,Remove irrelevant experience for focused applications
1292,Bullet Point Count Per Role,formatting,5,0.11,Low,Add more bullet points to fully describe your contributions
1293,Font Consistency,formatting,2,0.59,Low,Keep font size between 10-12pt for body text
1294,Experience Date Format,formatting,1,0.06,Medium,Avoid listing only years — include months for precision
1295,Bullet Point Length,formatting,21,0.89,Medium,Expand brief bullets with metrics and context
1296,ATS-Friendly Formatting,compatibility,4,0.41,Critical,"Avoid tables, text boxes, and columns for ATS parsing"
1297,Spelling and Grammar,grammar,98,0.59,High,Proofread thoroughly — spelling errors are automatic rejections
1298,Font Consistency,formatting,2,0.34,Medium,Use no more than 2 font families throughout
1299,Resume Length,formatting,2,0.47,High,Keep resume to 1 page for less than 10 years experience
1300,ATS-Friendly Formatting,compatibility,4,0.62,High,Save as .docx or .pdf only — avoid .jpg or .png
1301,Experience Date Format,formatting,2,0.06,Medium,Use 'Present' for current positions
1302,File Naming Convention,formatting,3,0.48,Low,Avoid generic names like 'resume.pdf' or 'document.docx'
1303,Summary Section Length,formatting,40,0.46,Medium,Summary should be 50-80 words for optimal impact
1304,Contact Information Completeness,content,3,0.29,Critical,Add LinkedIn profile URL for professional credibility
1305,ATS-Friendly Formatting,compatibility,2,0.3,Critical,Save as .docx or .pdf only — avoid .jpg or .png
1306,Summary Section Length,formatting,36,0.95,Low,Include 2-3 key achievements in your summary
1307,Relevance Score,content,100,0.19,Medium,Customize skills section for each application
1308,Action Verb Usage,content,79,0.3,Medium,Choose action verbs that demonstrate leadership and impact
1309,Experience Date Format,formatting,3,0.73,Low,Include both start and end dates for each role
1310,Resume Length,formatting,2,0.68,Medium,Remove outdated roles beyond 15 years
1311,White Space Ratio,formatting,37,0.28,Low,Avoid cramming text — use proper margins and spacing
1312,Experience Date Format,formatting,1,0.12,Low,Use consistent date format (Month Year - Month Year)
1313,White Space Ratio,formatting,36,0.08,Medium,Ensure the resume doesn't look cluttered or sparse
1314,Certification Listing,content,4,0.79,Medium,Remove expired certifications unless renewal is pending
1315,Font Consistency,formatting,3,0.36,Medium,Avoid decorative or script fonts
1316,Keyword Density,content,17,0.95,High,Don't keyword-stuff — maintain readability
1317,White Space Ratio,formatting,27,0.59,Medium,Use consistent spacing between sections
1318,Quantified Achievements,content,55,0.96,High,Use numbers to differentiate your resume from generic ones
1319,Section Order,structure,4,0.17,Medium,Order sections by relevance to target role
1320,Skills Section Format,formatting,15,0.07,Medium,Use industry-standard skill names for ATS matching
1321,Spelling and Grammar,grammar,95,0.53,Critical,Have a peer review your resume before submitting
1322,Education Section Detail,content,3,0.36,Medium,Add relevant coursework for entry-level candidates
1323,White Space Ratio,formatting,38,0.34,Medium,Ensure the resume doesn't look cluttered or sparse
1324,Keyword Density,content,10,0.06,Medium,Distribute keywords naturally throughout the resume
1325,Quantified Achievements,content,38,0.79,Medium,"Add team sizes, project budgets, or user counts"
1326,Gap Analysis,timeline,3,0.42,High,Use functional format if gaps are significant
1327,Resume Length,formatting,1,0.29,High,2-page maximum for senior professionals
1328,Skills Section Format,formatting,18,0.79,Low,Use industry-standard skill names for ATS matching
1329,Resume Length,formatting,1,0.59,Medium,Prioritize recent and relevant experience
1330,Action Verb Usage,content,89,0.96,Medium,Start every bullet point with a strong action verb
1331,Hyperlink Validation,formatting,0,0.52,Low,Ensure all URLs are clickable and functional
1332,Personal Pronoun Usage,grammar,2,0.94,Medium,Start bullets with action verbs instead of pronouns
1333,Section Order,structure,3,0.92,High,Place Experience section before Education for 3+ years experience
1334,Acronym Expansion,content,5,0.25,Medium,Use industry-standard acronyms without expansion
1335,Hyperlink Validation,formatting,2,0.89,Low,Use shortened URLs for cleaner formatting
1336,Personal Pronoun Usage,grammar,3,0.85,High,Resume should use implied first person
1337,File Naming Convention,formatting,3,0.16,Low,Name file: FirstName_LastName_Resume.pdf
1338,Experience Date Format,formatting,2,0.81,Low,Avoid listing only years — include months for precision
1339,Certification Listing,content,2,0.49,Low,Remove expired certifications unless renewal is pending
1340,Summary Section Length,formatting,66,0.7,Medium,Include 2-3 key achievements in your summary
1341,ATS-Friendly Formatting,compatibility,2,0.05,High,Don't put critical info in headers or footers
1342,Quantified Achievements,content,33,0.93,Critical,Include at least 2-3 metrics per role
1343,File Naming Convention,formatting,3,0.82,Low,Avoid generic names like 'resume.pdf' or 'document.docx'
1344,Acronym Expansion,content,2,0.36,Low,Don't assume the reader knows company-specific acronyms
1345,Personal Pronoun Usage,grammar,5,0.07,Medium,"Remove all first-person pronouns (I, me, my)"
1346,Summary Section Length,formatting,60,0.11,Low,Summary should be 50-80 words for optimal impact
1347,Skills Section Format,formatting,15,0.16,Medium,List 8-15 most relevant skills for the target role
1348,Bullet Point Count Per Role,formatting,7,0.97,Medium,Reduce bullet points to highlight key achievements only
1349,Spelling and Grammar,grammar,95,0.55,High,Pay special attention to company and technology names
1350,File Naming Convention,formatting,3,0.99,Low,Never use special characters in filename
1351,Bullet Point Length,formatting,16,0.41,Low,Keep bullet points between 1-2 lines for scannability
1352,White Space Ratio,formatting,31,0.22,Low,Ensure the resume doesn't look cluttered or sparse
1353,Certification Listing,content,0,0.79,Low,Remove expired certifications unless renewal is pending
1354,White Space Ratio,formatting,24,0.84,Medium,Use consistent spacing between sections
1355,Hyperlink Validation,formatting,5,0.19,Low,"Include LinkedIn, portfolio, or GitHub links"
1356,Summary Section Length,formatting,70,0.71,Medium,Summary should be 50-80 words for optimal impact
1357,Experience Date Format,formatting,2,0.4,Low,Use 'Present' for current positions
1358,Tense Consistency,grammar,87,0.17,Medium,Use present tense only for current role
1359,ATS-Friendly Formatting,compatibility,4,0.97,High,Save as .docx or .pdf only — avoid .jpg or .png
1360,Tense Consistency,grammar,92,0.57,Low,Use past tense for all previous positions
1361,Keyword Density,content,6,0.63,Medium,Match exact phrases from the job posting when possible
1362,Contact Information Completeness,content,4,0.09,High,Ensure email is professional (not personal/funny)
1363,Bullet Point Count Per Role,formatting,6,0.43,Low,Reduce bullet points to highlight key achievements only
1364,White Space Ratio,formatting,40,0.72,Low,Avoid cramming text — use proper margins and spacing
1365,Tense Consistency,grammar,100,0.56,Medium,Be consistent within each role's bullet points
1366,Quantified Achievements,content,79,0.24,High,Use numbers to differentiate your resume from generic ones
1367,Keyword Density,content,29,0.19,High,Distribute keywords naturally throughout the resume
1368,Experience Date Format,formatting,2,0.92,Low,Include both start and end dates for each role
1369,Personal Pronoun Usage,grammar,0,0.29,Medium,Resume should use implied first person
1370,Summary Section Length,formatting,52,0.22,Low,Summary should be 50-80 words for optimal impact
1371,White Space Ratio,formatting,32,0.22,Low,Ensure the resume doesn't look cluttered or sparse
1372,Relevance Score,content,61,0.67,Medium,Highlight transferable skills from unrelated roles
1373,Font Consistency,formatting,1,0.11,Medium,Keep font size between 10-12pt for body text
1374,File Naming Convention,formatting,1,0.43,Low,Include target role in filename for organization
1375,Tense Consistency,grammar,88,0.06,Low,Use present tense only for current role
1376,Hyperlink Validation,formatting,2,0.78,Low,Verify links point to professional content
1377,File Naming Convention,formatting,3,0.06,Low,Avoid generic names like 'resume.pdf' or 'document.docx'
1378,Hyperlink Validation,formatting,0,0.22,Low,Use shortened URLs for cleaner formatting
1379,Hyperlink Validation,formatting,0,0.27,Medium,Use shortened URLs for cleaner formatting
1380,Certification Listing,content,7,0.11,Medium,Remove expired certifications unless renewal is pending
1381,Certification Listing,content,4,0.39,Medium,List certifications with issuing body and date
1382,Quantified Achievements,content,66,0.94,Medium,"Quantify impact with percentages, dollars, or timeframes"
1383,Hyperlink Validation,formatting,0,0.46,Medium,Ensure all URLs are clickable and functional
1384,Certification Listing,content,4,0.59,Low,List certifications with issuing body and date
1385,Hyperlink Validation,formatting,2,0.31,Medium,Use shortened URLs for cleaner formatting
1386,Gap Analysis,timeline,21,0.61,Medium,Be prepared to explain gaps in interviews
1387,Experience Date Format,formatting,3,0.39,Medium,Avoid listing only years — include months for precision
1388,Skills Section Format,formatting,6,0.82,Medium,"Group skills by category (Technical, Soft, Tools)"
1389,Bullet Point Count Per Role,formatting,5,0.98,Low,Consolidate similar bullets into stronger impact statements
1390,Hyperlink Validation,formatting,0,0.14,Low,Use shortened URLs for cleaner formatting
1391,Certification Listing,content,10,0.34,Low,Include certification ID or verification link
1392,Experience Date Format,formatting,2,0.49,Medium,Avoid listing only years — include months for precision
1393,Gap Analysis,timeline,20,0.08,High,Be prepared to explain gaps in interviews
1394,Personal Pronoun Usage,grammar,3,0.21,Medium,"Remove all first-person pronouns (I, me, my)"
1395,Tense Consistency,grammar,95,0.81,Low,Use past tense for all previous positions
1396,Project Showcase,content,2,0.67,Medium,Link to live projects or case studies when possible
1397,Hyperlink Validation,formatting,0,0.71,Medium,Verify links point to professional content
1398,Personal Pronoun Usage,grammar,4,0.38,High,Avoid third-person references as well
1399,File Naming Convention,formatting,1,0.16,Low,Avoid generic names like 'resume.pdf' or 'document.docx'
1400,Section Order,structure,6,0.34,High,Order sections by relevance to target role
1401,Bullet Point Count Per Role,formatting,7,0.22,High,Add more bullet points to fully describe your contributions
1402,Contact Information Completeness,content,4,0.16,High,Add LinkedIn profile URL for professional credibility
1403,Section Order,structure,3,0.51,Medium,Order sections by relevance to target role
1404,Font Consistency,formatting,2,0.81,Medium,Avoid decorative or script fonts
1405,Resume Length,formatting,2,0.05,Medium,Keep resume to 1 page for less than 10 years experience
1406,ATS-Friendly Formatting,compatibility,5,0.34,Critical,Don't put critical info in headers or footers
1407,Acronym Expansion,content,7,0.33,Medium,Balance between full terms (ATS) and acronyms (readability)
1408,Keyword Density,content,23,0.89,High,Don't keyword-stuff — maintain readability
1409,Section Order,structure,4,0.9,Medium,Put Skills section near the top for ATS optimization
1410,ATS-Friendly Formatting,compatibility,1,0.08,Critical,Save as .docx or .pdf only — avoid .jpg or .png
1411,ATS-Friendly Formatting,compatibility,2,0.71,Critical,Save as .docx or .pdf only — avoid .jpg or .png
1412,Tense Consistency,grammar,86,0.98,Low,Avoid mixing tenses within the same section
1413,Gap Analysis,timeline,13,0.96,Critical,Use functional format if gaps are significant
1414,Keyword Density,content,7,0.18,Medium,Don't keyword-stuff — maintain readability
1415,Spelling and Grammar,grammar,98,0.25,High,Have a peer review your resume before submitting
1416,Spelling and Grammar,grammar,97,0.22,Critical,Proofread thoroughly — spelling errors are automatic rejections
1417,White Space Ratio,formatting,23,0.49,Low,Avoid cramming text — use proper margins and spacing
1418,Hyperlink Validation,formatting,1,0.27,Medium,Verify links point to professional content
1419,Section Order,structure,7,0.92,High,Order sections by relevance to target role
1420,Relevance Score,content,94,0.38,High,Customize skills section for each application
1421,Resume Length,formatting,2,0.33,High,2-page maximum for senior professionals
1422,Education Section Detail,content,4,0.34,Medium,Add relevant coursework for entry-level candidates
1423,Quantified Achievements,content,80,0.63,Medium,"Add team sizes, project budgets, or user counts"
1424,Font Consistency,formatting,3,0.84,Low,Keep font size between 10-12pt for body text
1425,Quantified Achievements,content,47,0.32,Critical,Use numbers to differentiate your resume from generic ones
1426,Gap Analysis,timeline,8,0.07,High,"Include freelance, volunteer, or education during gaps"
1427,Project Showcase,content,5,0.26,Medium,Describe your specific role and contribution
1428,Gap Analysis,timeline,10,0.17,Critical,Be prepared to explain gaps in interviews
1429,Certification Listing,content,7,0.14,Low,Prioritize industry-recognized certifications
1430,Skills Section Format,formatting,8,0.17,Low,Prioritize hard skills over soft skills in this section
1431,Spelling and Grammar,grammar,96,0.77,High,Pay special attention to company and technology names
1432,Tense Consistency,grammar,90,0.23,Medium,Be consistent within each role's bullet points
1433,File Naming Convention,formatting,3,0.37,Low,Include target role in filename for organization
1434,Gap Analysis,timeline,4,0.28,Medium,Address employment gaps longer than 6 months
1435,Bullet Point Length,formatting,19,0.46,Medium,Expand brief bullets with metrics and context
1436,Resume Length,formatting,2,0.74,Medium,2-page maximum for senior professionals
1437,Action Verb Usage,content,96,0.18,Medium,Start every bullet point with a strong action verb
1438,Certification Listing,content,5,0.79,Low,Include certification ID or verification link
1439,Experience Date Format,formatting,4,0.87,Medium,Avoid listing only years — include months for precision
1440,Personal Pronoun Usage,grammar,5,0.36,High,Start bullets with action verbs instead of pronouns
1441,Education Section Detail,content,5,0.97,Low,List certifications separately from formal education
1442,Section Order,structure,5,0.3,Medium,Place Experience section before Education for 3+ years experience
1443,White Space Ratio,formatting,37,0.3,Medium,Avoid cramming text — use proper margins and spacing
1444,Education Section Detail,content,5,0.13,Medium,Add relevant coursework for entry-level candidates
1445,Action Verb Usage,content,94,0.89,High,Start every bullet point with a strong action verb
1446,Resume Length,formatting,1,0.2,Medium,Prioritize recent and relevant experience
1447,Hyperlink Validation,formatting,5,0.87,Low,Ensure all URLs are clickable and functional
1448,Experience Date Format,formatting,3,0.22,Medium,Use 'Present' for current positions
1449,ATS-Friendly Formatting,compatibility,2,0.34,High,"Avoid tables, text boxes, and columns for ATS parsing"
1450,Hyperlink Validation,formatting,3,0.79,Medium,Use shortened URLs for cleaner formatting
1451,Acronym Expansion,content,1,0.73,Low,Don't assume the reader knows company-specific acronyms
1452,Summary Section Length,formatting,66,0.77,Medium,Include 2-3 key achievements in your summary
1453,Bullet Point Length,formatting,14,0.68,Low,Expand brief bullets with metrics and context
1454,Tense Consistency,grammar,94,0.49,Medium,Use past tense for all previous positions
1455,Experience Date Format,formatting,1,0.85,Medium,Include both start and end dates for each role
1456,Bullet Point Length,formatting,14,0.8,Low,Expand brief bullets with metrics and context
1457,White Space Ratio,formatting,21,0.82,Low,Avoid cramming text — use proper margins and spacing
1458,Relevance Score,content,100,0.42,High,Customize skills section for each application
1459,Skills Section Format,formatting,19,0.24,Medium,List 8-15 most relevant skills for the target role
1460,Summary Section Length,formatting,63,0.06,Low,Summary should be 50-80 words for optimal impact
1461,Bullet Point Count Per Role,formatting,4,0.59,Medium,Consolidate similar bullets into stronger impact statements
1462,Contact Information Completeness,content,4,0.27,High,"Include full name, email, phone, LinkedIn, and location"
1463,Action Verb Usage,content,72,0.5,High,Choose action verbs that demonstrate leadership and impact
1464,Section Order,structure,6,0.79,Medium,Put Skills section near the top for ATS optimization
1465,White Space Ratio,formatting,20,0.18,Medium,Ensure the resume doesn't look cluttered or sparse
1466,Tense Consistency,grammar,99,0.29,Medium,Be consistent within each role's bullet points
1467,Certification Listing,content,0,0.66,Low,Prioritize industry-recognized certifications
1468,Experience Date Format,formatting,1,0.91,Low,Include both start and end dates for each role
1469,Certification Listing,content,9,0.21,Medium,Remove expired certifications unless renewal is pending
1470,Bullet Point Count Per Role,formatting,4,0.09,Medium,Reduce bullet points to highlight key achievements only
1471,Acronym Expansion,content,5,0.95,Medium,Spell out acronyms on first use with abbreviation in parentheses
1472,Gap Analysis,timeline,23,0.48,Medium,Address employment gaps longer than 6 months
1473,Skills Section Format,formatting,10,0.1,Low,Use industry-standard skill names for ATS matching
1474,White Space Ratio,formatting,21,0.92,Medium,Ensure the resume doesn't look cluttered or sparse
1475,Quantified Achievements,content,72,0.74,Critical,Use numbers to differentiate your resume from generic ones
1476,Contact Information Completeness,content,6,0.83,Critical,Include city and state (full address not required)
1477,ATS-Friendly Formatting,compatibility,1,0.1,High,Save as .docx or .pdf only — avoid .jpg or .png
1478,White Space Ratio,formatting,40,0.2,Low,Ensure the resume doesn't look cluttered or sparse
1479,Hyperlink Validation,formatting,3,0.53,Low,Verify links point to professional content
1480,Section Order,structure,2,0.62,Medium,Order sections by relevance to target role
1481,Gap Analysis,timeline,22,0.42,High,Be prepared to explain gaps in interviews
1482,Acronym Expansion,content,5,0.95,Medium,Use industry-standard acronyms without expansion
1483,Tense Consistency,grammar,87,0.59,Low,Avoid mixing tenses within the same section
1484,Section Order,structure,7,0.17,Medium,Place Experience section before Education for 3+ years experience
1485,Section Order,structure,1,0.97,Medium,Put Skills section near the top for ATS optimization
1486,Bullet Point Length,formatting,17,0.58,Medium,Expand brief bullets with metrics and context
1487,Certification Listing,content,9,0.48,Low,List certifications with issuing body and date
1488,Bullet Point Length,formatting,25,0.08,Medium,Expand brief bullets with metrics and context
1489,File Naming Convention,formatting,1,0.15,Low,Include target role in filename for organization
1490,Relevance Score,content,79,0.22,High,Highlight transferable skills from unrelated roles
1491,Education Section Detail,content,2,0.21,Medium,"Include degree, institution, graduation year, and GPA if above 3.5"
1492,Summary Section Length,formatting,61,0.29,Medium,Avoid generic summaries — tailor to each application
1493,Acronym Expansion,content,8,0.07,Low,Use industry-standard acronyms without expansion
1494,Resume Length,formatting,1,0.41,Medium,Keep resume to 1 page for less than 10 years experience
1495,Font Consistency,formatting,3,0.61,Medium,"Use 14-16pt for name, 12-14pt for section headers"
1496,File Naming Convention,formatting,2,0.75,Low,Avoid generic names like 'resume.pdf' or 'document.docx'
1497,Bullet Point Count Per Role,formatting,8,0.24,High,Reduce bullet points to highlight key achievements only
1498,Resume Length,formatting,2,0.88,High,Prioritize recent and relevant experience
1499,Bullet Point Count Per Role,formatting,5,0.53,High,Consolidate similar bullets into stronger impact statements
1500,Gap Analysis,timeline,10,0.49,Medium,"Include freelance, volunteer, or education during gaps"
1501,Skills Section Format,formatting,5,0.78,Medium,Prioritize hard skills over soft skills in this section
1502,Hyperlink Validation,formatting,2,0.23,Low,Verify links point to professional content
1503,Hyperlink Validation,formatting,3,0.64,Medium,Verify links point to professional content
1504,Skills Section Format,formatting,17,0.2,Medium,List 8-15 most relevant skills for the target role
1505,Relevance Score,content,87,0.27,High,Customize skills section for each application
1506,Skills Section Format,formatting,19,0.35,Medium,Prioritize hard skills over soft skills in this section
1507,Skills Section Format,formatting,10,0.07,Medium,List 8-15 most relevant skills for the target role
1508,Section Order,structure,4,0.18,High,Place Experience section before Education for 3+ years experience
1509,Relevance Score,content,48,0.59,Medium,Highlight transferable skills from unrelated roles
1510,Skills Section Format,formatting,9,0.12,Medium,"Group skills by category (Technical, Soft, Tools)"
1511,Project Showcase,content,4,0.19,Medium,Include 2-3 key projects with measurable outcomes
1512,Education Section Detail,content,4,0.46,Medium,Add relevant coursework for entry-level candidates
1513,Keyword Density,content,26,0.21,Medium,Match exact phrases from the job posting when possible
1514,Relevance Score,content,86,0.09,High,Remove irrelevant experience for focused applications
1515,Font Consistency,formatting,1,0.64,Medium,"Use 14-16pt for name, 12-14pt for section headers"
1516,Bullet Point Count Per Role,formatting,8,0.14,High,Add more bullet points to fully describe your contributions
1517,Experience Date Format,formatting,1,0.09,Low,Use consistent date format (Month Year - Month Year)
1518,Gap Analysis,timeline,17,0.11,Medium,Use functional format if gaps are significant
1519,File Naming Convention,formatting,1,0.14,Low,Avoid generic names like 'resume.pdf' or 'document.docx'
1520,Skills Section Format,formatting,7,0.54,Medium,Use industry-standard skill names for ATS matching
1521,Contact Information Completeness,content,5,0.57,High,Ensure email is professional (not personal/funny)
1522,Acronym Expansion,content,8,0.9,Medium,Don't assume the reader knows company-specific acronyms
1523,Contact Information Completeness,content,3,0.58,Critical,Include city and state (full address not required)
1524,Bullet Point Length,formatting,22,0.76,Medium,Shorten overly long bullets to focus on key results
1525,Hyperlink Validation,formatting,0,0.22,Low,Use shortened URLs for cleaner formatting
1526,Personal Pronoun Usage,grammar,3,0.28,High,Avoid third-person references as well
1527,Education Section Detail,content,4,0.32,Medium,List certifications separately from formal education
1528,Font Consistency,formatting,3,0.62,Medium,Use no more than 2 font families throughout
1529,Certification Listing,content,2,0.68,Low,Prioritize industry-recognized certifications
1530,Contact Information Completeness,content,4,0.22,Critical,Add LinkedIn profile URL for professional credibility
1531,Experience Date Format,formatting,2,0.71,Low,Use 'Present' for current positions
1532,Bullet Point Length,formatting,19,0.29,Low,Expand brief bullets with metrics and context
1533,Experience Date Format,formatting,1,0.94,Medium,Avoid listing only years — include months for precision
1534,Gap Analysis,timeline,24,0.14,Critical,Address employment gaps longer than 6 months
1535,Relevance Score,content,68,0.61,Medium,Customize skills section for each application
1536,Relevance Score,content,79,0.67,High,Tailor resume content to match the target role by 70%+
1537,Personal Pronoun Usage,grammar,5,0.75,Medium,"Remove all first-person pronouns (I, me, my)"
1538,Bullet Point Count Per Role,formatting,3,0.45,Low,Consolidate similar bullets into stronger impact statements
1539,Bullet Point Count Per Role,formatting,8,0.72,High,Reduce bullet points to highlight key achievements only
1540,Bullet Point Length,formatting,10,0.76,Medium,Keep bullet points between 1-2 lines for scannability
1541,Acronym Expansion,content,6,0.23,Low,Balance between full terms (ATS) and acronyms (readability)
1542,Contact Information Completeness,content,3,0.36,Critical,"Include full name, email, phone, LinkedIn, and location"
1543,Skills Section Format,formatting,13,0.57,Low,List 8-15 most relevant skills for the target role
1544,Bullet Point Count Per Role,formatting,5,0.93,High,Reduce bullet points to highlight key achievements only
1545,Relevance Score,content,50,0.48,Medium,Tailor resume content to match the target role by 70%+
1546,Acronym Expansion,content,7,0.77,Low,Balance between full terms (ATS) and acronyms (readability)
1547,Action Verb Usage,content,74,0.89,Medium,Avoid repeating the same action verb within a role
1548,Personal Pronoun Usage,grammar,4,0.25,High,Start bullets with action verbs instead of pronouns
1549,Tense Consistency,grammar,93,0.65,Low,Be consistent within each role's bullet points
1550,File Naming Convention,formatting,3,0.43,Low,Avoid generic names like 'resume.pdf' or 'document.docx'
1551,Contact Information Completeness,content,4,0.97,Critical,Include city and state (full address not required)
1552,Contact Information Completeness,content,3,0.2,High,Add LinkedIn profile URL for professional credibility
1553,Personal Pronoun Usage,grammar,1,0.73,Medium,Start bullets with action verbs instead of pronouns
1554,Summary Section Length,formatting,36,0.9,Low,Avoid generic summaries — tailor to each application
1555,Keyword Density,content,28,0.36,Medium,Match exact phrases from the job posting when possible
1556,Project Showcase,content,1,0.52,High,Link to live projects or case studies when possible
1557,Contact Information Completeness,content,3,0.83,Critical,Include city and state (full address not required)
1558,Skills Section Format,formatting,5,0.28,Low,Use industry-standard skill names for ATS matching
1559,Section Order,structure,5,0.63,Medium,Put Skills section near the top for ATS optimization
1560,ATS-Friendly Formatting,compatibility,1,0.38,Critical,"Avoid tables, text boxes, and columns for ATS parsing"
1561,Gap Analysis,timeline,13,0.56,Critical,Use functional format if gaps are significant
1562,Resume Length,formatting,2,0.75,High,2-page maximum for senior professionals
1563,Bullet Point Count Per Role,formatting,8,0.72,High,Reduce bullet points to highlight key achievements only
1564,Font Consistency,formatting,2,0.78,Medium,Avoid decorative or script fonts
1565,Relevance Score,content,95,0.18,High,Tailor resume content to match the target role by 70%+
1566,Keyword Density,content,11,0.38,High,Distribute keywords naturally throughout the resume
1567,Action Verb Usage,content,98,0.65,High,Choose action verbs that demonstrate leadership and impact
1568,Bullet Point Count Per Role,formatting,6,0.89,High,Add more bullet points to fully describe your contributions
1569,Gap Analysis,timeline,19,0.3,Medium,Be prepared to explain gaps in interviews
1570,Tense Consistency,grammar,84,0.61,Medium,Avoid mixing tenses within the same section
1571,Resume Length,formatting,1,0.51,High,Prioritize recent and relevant experience
1572,Acronym Expansion,content,1,0.7,Medium,Don't assume the reader knows company-specific acronyms
1573,Tense Consistency,grammar,88,0.44,Medium,Be consistent within each role's bullet points
1574,Section Order,structure,5,0.16,Medium,Order sections by relevance to target role
1575,Keyword Density,content,12,0.54,High,Match exact phrases from the job posting when possible
1576,File Naming Convention,formatting,2,0.75,Low,Never use special characters in filename
1577,Acronym Expansion,content,9,0.33,Low,Balance between full terms (ATS) and acronyms (readability)
1578,Gap Analysis,timeline,17,0.33,Medium,"Include freelance, volunteer, or education during gaps"
1579,Bullet Point Count Per Role,formatting,7,0.88,Low,Consolidate similar bullets into stronger impact statements
1580,Education Section Detail,content,3,0.21,Low,"Include degree, institution, graduation year, and GPA if above 3.5"
1581,Summary Section Length,formatting,59,0.43,Low,Include 2-3 key achievements in your summary
1582,Acronym Expansion,content,10,0.85,Low,Spell out acronyms on first use with abbreviation in parentheses
1583,Skills Section Format,formatting,13,0.54,Medium,Use industry-standard skill names for ATS matching
1584,Project Showcase,content,2,0.88,Medium,Describe your specific role and contribution
1585,Bullet Point Length,formatting,20,0.68,Medium,Shorten overly long bullets to focus on key results
1586,Acronym Expansion,content,9,0.3,Low,Balance between full terms (ATS) and acronyms (readability)
1587,Certification Listing,content,1,0.99,Medium,Remove expired certifications unless renewal is pending
1588,Action Verb Usage,content,60,0.8,Medium,Choose action verbs that demonstrate leadership and impact
1589,Bullet Point Count Per Role,formatting,3,0.09,Low,Reduce bullet points to highlight key achievements only
1590,White Space Ratio,formatting,32,0.61,Medium,Maintain 20-30% white space for readability
1591,Project Showcase,content,5,0.07,High,Describe your specific role and contribution
1592,White Space Ratio,formatting,32,0.58,Medium,Maintain 20-30% white space for readability
1593,Project Showcase,content,5,0.98,Medium,Link to live projects or case studies when possible
1594,Hyperlink Validation,formatting,2,0.59,Medium,Use shortened URLs for cleaner formatting
1595,Personal Pronoun Usage,grammar,3,0.55,Medium,"Remove all first-person pronouns (I, me, my)"
1596,Skills Section Format,formatting,18,0.16,Low,"Group skills by category (Technical, Soft, Tools)"
1597,Project Showcase,content,2,0.89,High,"Quantify project impact (users, revenue, efficiency)"
1598,Contact Information Completeness,content,3,0.92,High,Include city and state (full address not required)
1599,Resume Length,formatting,2,0.42,Medium,Keep resume to 1 page for less than 10 years experience
1600,Quantified Achievements,content,72,0.58,High,Use numbers to differentiate your resume from generic ones
1601,Font Consistency,formatting,2,0.94,Low,"Use 14-16pt for name, 12-14pt for section headers"
1602,Font Consistency,formatting,1,0.36,Low,Use no more than 2 font families throughout
1603,White Space Ratio,formatting,39,0.18,Medium,Ensure the resume doesn't look cluttered or sparse
1604,ATS-Friendly Formatting,compatibility,2,0.17,High,"Use standard section headers (Experience, Education, Skills)"
1605,Bullet Point Count Per Role,formatting,5,0.94,Low,Reduce bullet points to highlight key achievements only
1606,File Naming Convention,formatting,3,0.8,Low,Never use special characters in filename
1607,Quantified Achievements,content,61,0.91,High,Use numbers to differentiate your resume from generic ones
1608,Resume Length,formatting,3,0.4,High,Remove outdated roles beyond 15 years
1609,Action Verb Usage,content,98,0.21,High,"Use past tense for previous roles, present for current"
1610,Action Verb Usage,content,94,0.06,Medium,"Use past tense for previous roles, present for current"
1611,Section Order,structure,2,0.74,High,Order sections by relevance to target role
1612,Experience Date Format,formatting,1,0.05,Low,Use consistent date format (Month Year - Month Year)
1613,Action Verb Usage,content,85,0.95,Medium,Avoid repeating the same action verb within a role
1614,Section Order,structure,6,0.93,High,Lead with Summary/Profile section for immediate impact
