indicator_id,phrase_pattern,soft_skill_type,weight,polarity,confidence_score
12032,handled pressure,Leadership,0.44,negative,0.63
12033,collaborated with team,Problem Solving,0.73,positive,0.93
12034,resolved conflicts,Communication,0.49,negative,0.82
12035,handled pressure,Problem Solving,0.53,positive,0.66
12036,communicated effectively,Leadership,0.5,negative,0.62
12037,handled pressure,Communication,0.1,negative,0.7
12038,handled pressure,Communication,0.13,negative,0.85
12039,communicated effectively,Leadership,0.16,positive,0.94
12040,communicated effectively,Leadership,0.54,negative,0.77
12041,resolved conflicts,Communication,0.92,negative,0.9
12042,communicated effectively,Communication,0.86,negative,0.97
12043,communicated effectively,Problem Solving,0.36,positive,0.87
12044,handled pressure,Teamwork,0.29,negative,0.69
12045,handled pressure,Communication,0.37,negative,0.85
12046,handled pressure,Communication,0.84,positive,0.82
12047,communicated effectively,Communication,0.72,positive,0.93
12048,managed deadlines,Adaptability,0.83,positive,0.65
12049,handled pressure,Teamwork,0.59,negative,0.72
12050,managed deadlines,Leadership,0.8,negative,0.92
12051,communicated effectively,Problem Solving,0.58,positive,0.9
12052,communicated effectively,Problem Solving,0.33,positive,0.73
12053,managed deadlines,Communication,0.47,negative,0.64
12054,handled pressure,Adaptability,0.54,positive,0.62
12055,managed deadlines,Adaptability,0.06,negative,0.79
12056,collaborated with team,Adaptability,0.01,positive,0.75
12057,collaborated with team,Adaptability,0.3,negative,0.74
12058,handled pressure,Leadership,0.65,negative,0.75
12059,managed deadlines,Leadership,0.8,negative,0.62
12060,communicated effectively,Problem Solving,0.91,positive,0.8
12061,managed deadlines,Leadership,0.43,positive,0.73
12062,managed deadlines,Leadership,0.06,negative,0.91
12063,handled pressure,Problem Solving,0.04,positive,0.65
12064,collaborated with team,Adaptability,0.52,positive,0.76
12065,collaborated with team,Communication,0.58,negative,0.83
12066,communicated effectively,Problem Solving,0.7,positive,0.95
12067,communicated effectively,Adaptability,0.24,negative,0.94
12068,handled pressure,Leadership,0.44,negative,0.65
12069,communicated effectively,Problem Solving,0.93,positive,0.9
12070,collaborated with team,Problem Solving,0.54,positive,0.9
12071,communicated effectively,Communication,0.15,positive,0.93
12072,handled pressure,Problem Solving,0.19,negative,0.66
12073,resolved conflicts,Communication,0.32,positive,0.96
12074,managed deadlines,Communication,0.91,negative,0.9
12075,communicated effectively,Leadership,0.66,negative,0.72
12076,managed deadlines,Adaptability,0.56,positive,0.76
12077,communicated effectively,Problem Solving,0.81,negative,0.71
12078,collaborated with team,Leadership,0.92,positive,0.95
12079,collaborated with team,Teamwork,0.27,negative,0.98
12080,communicated effectively,Adaptability,0.77,positive,0.92
12081,managed deadlines,Adaptability,0.21,negative,0.94
12082,managed deadlines,Adaptability,0.88,negative,0.64
12083,managed deadlines,Leadership,0.46,negative,0.88
12084,communicated effectively,Teamwork,0.75,negative,0.71
12085,resolved conflicts,Adaptability,0.1,positive,0.68
12086,managed deadlines,Leadership,0.73,negative,0.79
12087,handled pressure,Leadership,0.01,negative,0.62
12088,handled pressure,Leadership,0.96,positive,0.73
12089,collaborated with team,Communication,0.27,negative,0.92
12090,collaborated with team,Leadership,0.9,positive,0.6
12091,handled pressure,Problem Solving,0.45,positive,0.99
12092,collaborated with team,Teamwork,0.27,positive,0.66
12093,handled pressure,Teamwork,0.68,negative,0.88
12094,collaborated with team,Adaptability,0.09,positive,0.72
12095,collaborated with team,Communication,0.52,negative,0.88
12096,managed deadlines,Adaptability,0.47,positive,0.73
12097,communicated effectively,Leadership,0.8,negative,0.95
12098,handled pressure,Teamwork,0.25,positive,0.67
12099,managed deadlines,Problem Solving,0.37,negative,0.75
12100,handled pressure,Teamwork,0.16,positive,0.86
12101,resolved conflicts,Teamwork,0.39,negative,0.83
12102,collaborated with team,Problem Solving,0.38,negative,0.61
12103,handled pressure,Teamwork,0.97,negative,0.93
12104,handled pressure,Problem Solving,0.25,negative,0.72
12105,handled pressure,Communication,0.49,positive,0.62
12106,managed deadlines,Communication,0.78,positive,0.91
12107,resolved conflicts,Adaptability,0.39,negative,0.86
12108,collaborated with team,Leadership,0.24,positive,0.97
12109,communicated effectively,Problem Solving,0.73,negative,0.61
12110,resolved conflicts,Leadership,0.81,negative,0.76
12111,communicated effectively,Communication,0.04,negative,0.73
12112,collaborated with team,Problem Solving,0.84,negative,0.71
12113,communicated effectively,Teamwork,0.82,positive,0.62
12114,communicated effectively,Teamwork,0.41,positive,0.7
12115,managed deadlines,Teamwork,0.72,positive,0.63
12116,handled pressure,Adaptability,0.73,negative,0.64
12117,resolved conflicts,Problem Solving,0.57,positive,0.96
12118,handled pressure,Leadership,0.09,negative,0.98
12119,collaborated with team,Problem Solving,0.86,positive,0.71
12120,communicated effectively,Leadership,0.17,positive,0.96
12121,communicated effectively,Leadership,0.11,positive,0.67
12122,communicated effectively,Leadership,0.46,positive,0.83
12123,managed deadlines,Adaptability,0.21,positive,0.94
12124,managed deadlines,Teamwork,0.06,positive,0.9
12125,communicated effectively,Adaptability,0.84,negative,0.89
12126,resolved conflicts,Communication,0.76,positive,0.98
12127,communicated effectively,Teamwork,0.71,negative,0.62
12128,communicated effectively,Teamwork,0.33,negative,0.85
12129,collaborated with team,Problem Solving,0.55,negative,0.78
12130,resolved conflicts,Leadership,0.48,negative,0.77
12131,communicated effectively,Communication,0.04,positive,0.76
12132,resolved conflicts,Leadership,0.56,negative,0.7
12133,collaborated with team,Adaptability,0.94,negative,0.92
12134,resolved conflicts,Leadership,0.75,positive,0.68
12135,collaborated with team,Leadership,0.82,negative,0.64
12136,resolved conflicts,Adaptability,0.24,positive,0.92
12137,resolved conflicts,Teamwork,0.55,negative,0.91
12138,managed deadlines,Communication,0.7,positive,0.71
12139,collaborated with team,Communication,0.37,positive,0.71
12140,communicated effectively,Adaptability,0.27,negative,0.9
12141,collaborated with team,Teamwork,0.4,negative,0.78
12142,handled pressure,Problem Solving,0.79,positive,0.82
12143,managed deadlines,Communication,0.79,positive,0.85
12144,collaborated with team,Teamwork,0.49,positive,0.73
12145,handled pressure,Leadership,0.48,positive,0.79
12146,communicated effectively,Problem Solving,0.53,positive,0.78
12147,managed deadlines,Communication,0.77,negative,0.92
12148,handled pressure,Leadership,0.15,negative,0.95
12149,handled pressure,Teamwork,0.77,negative,0.78
12150,managed deadlines,Problem Solving,0.29,positive,0.74
12151,resolved conflicts,Communication,0.94,positive,0.61
12152,resolved conflicts,Adaptability,0.21,positive,0.75
12153,managed deadlines,Teamwork,0.44,positive,0.68
12154,managed deadlines,Teamwork,0.2,negative,0.81
12155,managed deadlines,Teamwork,0.68,positive,0.84
12156,handled pressure,Teamwork,0.34,positive,0.93
12157,resolved conflicts,Adaptability,0.21,positive,0.74
12158,communicated effectively,Teamwork,0.08,positive,0.89
12159,collaborated with team,Problem Solving,0.35,negative,0.64
12160,managed deadlines,Teamwork,0.44,negative,0.95
12161,managed deadlines,Teamwork,0.96,positive,0.95
12162,collaborated with team,Communication,0.51,positive,0.72
12163,managed deadlines,Problem Solving,0.94,positive,0.85
12164,managed deadlines,Problem Solving,0.19,negative,0.84
12165,handled pressure,Problem Solving,0.58,negative,0.98
12166,collaborated with team,Adaptability,0.48,positive,0.95
12167,collaborated with team,Problem Solving,0.12,negative,0.91
12168,managed deadlines,Adaptability,0.73,positive,0.65
12169,collaborated with team,Adaptability,0.64,negative,0.76
12170,resolved conflicts,Communication,0.35,negative,0.94
12171,communicated effectively,Problem Solving,0.47,negative,0.98
12172,collaborated with team,Teamwork,0.54,positive,0.95
12173,managed deadlines,Teamwork,0.48,negative,0.83
12174,communicated effectively,Communication,0.73,negative,0.94
12175,handled pressure,Teamwork,0.85,negative,0.68
12176,communicated effectively,Problem Solving,0.79,negative,0.71
12177,collaborated with team,Teamwork,0.36,positive,0.85
12178,resolved conflicts,Leadership,0.84,positive,0.95
12179,handled pressure,Problem Solving,0.06,negative,0.68
12180,managed deadlines,Communication,0.05,positive,0.66
12181,resolved conflicts,Problem Solving,0.81,negative,0.8
12182,communicated effectively,Communication,0.8,positive,0.93
12183,handled pressure,Communication,0.75,positive,0.74
12184,handled pressure,Communication,0.04,positive,0.79
12185,collaborated with team,Problem Solving,0.2,positive,0.93
12186,collaborated with team,Adaptability,0.78,negative,0.78
12187,handled pressure,Teamwork,0.35,negative,0.93
12188,handled pressure,Communication,0.6,positive,0.85
12189,resolved conflicts,Leadership,0.62,positive,0.83
12190,collaborated with team,Problem Solving,0.76,positive,0.91
12191,handled pressure,Problem Solving,0.77,positive,0.95
12192,communicated effectively,Teamwork,0.22,positive,0.69
12193,communicated effectively,Communication,0.95,positive,0.84
12194,managed deadlines,Leadership,0.84,negative,0.86
12195,managed deadlines,Problem Solving,0.49,positive,0.94
12196,communicated effectively,Communication,0.43,positive,0.8
12197,communicated effectively,Communication,0.91,positive,0.92
12198,resolved conflicts,Problem Solving,0.11,negative,0.88
12199,managed deadlines,Problem Solving,0.6,positive,0.83
12200,communicated effectively,Problem Solving,0.64,negative,0.93
12201,communicated effectively,Adaptability,0.71,positive,0.69
12202,handled pressure,Teamwork,0.61,positive,0.71
12203,resolved conflicts,Problem Solving,0.41,negative,0.66
12204,managed deadlines,Problem Solving,0.49,positive,0.95
12205,handled pressure,Leadership,0.52,negative,0.87
12206,resolved conflicts,Adaptability,0.35,negative,0.78
12207,handled pressure,Adaptability,0.23,positive,0.93
12208,managed deadlines,Communication,0.36,positive,0.85
12209,managed deadlines,Communication,0.4,negative,0.88
12210,handled pressure,Teamwork,0.23,positive,0.65
12211,handled pressure,Communication,0.22,negative,0.78
12212,collaborated with team,Leadership,0.63,negative,0.68
12213,collaborated with team,Problem Solving,0.74,positive,0.64
12214,managed deadlines,Adaptability,0.26,positive,0.61
12215,managed deadlines,Leadership,0.67,positive,0.62
12216,handled pressure,Adaptability,0.13,positive,0.9
12217,handled pressure,Problem Solving,0.43,positive,0.96
12218,managed deadlines,Communication,0.34,negative,0.88
12219,collaborated with team,Teamwork,0.57,negative,0.88
12220,managed deadlines,Adaptability,0.85,positive,0.67
12221,handled pressure,Adaptability,0.62,positive,0.78
12222,collaborated with team,Problem Solving,0.47,negative,0.82
12223,managed deadlines,Teamwork,0.6,positive,0.91
12224,communicated effectively,Communication,0.76,negative,0.61
12225,handled pressure,Adaptability,0.42,negative,0.79
12226,communicated effectively,Problem Solving,0.9,positive,0.82
12227,collaborated with team,Communication,0.33,negative,0.85
12228,communicated effectively,Communication,0.04,positive,0.78
12229,collaborated with team,Teamwork,0.3,positive,0.7
12230,resolved conflicts,Problem Solving,0.71,positive,0.75
12231,resolved conflicts,Adaptability,0.6,positive,0.88
12232,communicated effectively,Leadership,0.69,positive,0.89
12233,collaborated with team,Communication,0.42,negative,0.67
12234,managed deadlines,Teamwork,0.08,positive,0.79
12235,handled pressure,Leadership,0.35,positive,0.69
12236,managed deadlines,Communication,0.51,positive,0.98
12237,collaborated with team,Communication,0.25,negative,0.85
12238,resolved conflicts,Problem Solving,0.06,negative,0.69
12239,handled pressure,Leadership,0.7,negative,0.71
12240,handled pressure,Leadership,0.23,negative,0.67
12241,managed deadlines,Leadership,0.25,negative,0.68
12242,resolved conflicts,Adaptability,0.85,negative,0.86
12243,communicated effectively,Leadership,0.52,positive,0.76
12244,resolved conflicts,Problem Solving,0.55,negative,0.92
12245,communicated effectively,Teamwork,0.57,negative,0.92
12246,managed deadlines,Adaptability,0.31,positive,0.97
12247,communicated effectively,Adaptability,0.77,negative,0.71
12248,communicated effectively,Communication,0.44,negative,0.63
12249,handled pressure,Teamwork,0.53,positive,0.6
12250,communicated effectively,Communication,0.04,positive,0.66
12251,handled pressure,Communication,0.67,negative,0.83
12252,communicated effectively,Teamwork,0.78,negative,0.74
12253,collaborated with team,Problem Solving,0.83,positive,0.7
12254,handled pressure,Communication,0.87,negative,0.77
12255,resolved conflicts,Communication,0.92,positive,0.7
12256,communicated effectively,Communication,0.73,positive,0.69
12257,communicated effectively,Problem Solving,0.07,negative,0.85
12258,communicated effectively,Teamwork,0.09,positive,0.84
12259,communicated effectively,Teamwork,0.45,positive,0.63
12260,communicated effectively,Leadership,0.86,positive,0.84
12261,resolved conflicts,Communication,0.34,negative,0.89
12262,handled pressure,Communication,0.98,positive,0.61
12263,handled pressure,Problem Solving,0.26,negative,0.77
12264,communicated effectively,Problem Solving,0.33,positive,0.87
12265,managed deadlines,Teamwork,0.96,positive,0.6
12266,collaborated with team,Problem Solving,0.25,positive,0.77
12267,communicated effectively,Problem Solving,0.08,positive,0.89
12268,collaborated with team,Leadership,0.2,positive,0.86
12269,collaborated with team,Teamwork,0.18,negative,0.82
12270,handled pressure,Adaptability,0.56,positive,0.96
12271,communicated effectively,Adaptability,0.36,positive,0.84
12272,managed deadlines,Adaptability,0.17,positive,0.84
12273,communicated effectively,Teamwork,0.29,positive,0.89
12274,resolved conflicts,Problem Solving,0.56,positive,0.91
12275,resolved conflicts,Leadership,0.23,negative,0.97
12276,collaborated with team,Teamwork,0.74,negative,0.62
12277,handled pressure,Leadership,0.05,negative,0.84
12278,collaborated with team,Leadership,0.06,negative,0.66
12279,managed deadlines,Communication,0.46,positive,0.69
12280,collaborated with team,Leadership,0.01,positive,0.76
12281,communicated effectively,Teamwork,0.75,negative,0.82
12282,collaborated with team,Communication,0.1,positive,0.8
12283,collaborated with team,Communication,0.2,negative,0.62
12284,collaborated with team,Adaptability,0.49,negative,0.98
12285,collaborated with team,Teamwork,0.43,negative,0.99
12286,communicated effectively,Communication,0.21,negative,0.89
12287,collaborated with team,Adaptability,0.22,positive,0.99
12288,resolved conflicts,Problem Solving,0.18,negative,0.86
12289,communicated effectively,Leadership,0.75,positive,0.9
12290,resolved conflicts,Adaptability,0.99,negative,0.78
12291,resolved conflicts,Problem Solving,0.48,positive,0.78
12292,collaborated with team,Teamwork,0.06,negative,0.76
12293,communicated effectively,Teamwork,0.64,negative,0.83
12294,collaborated with team,Problem Solving,0.69,positive,0.61
12295,resolved conflicts,Problem Solving,0.75,positive,0.72
12296,managed deadlines,Adaptability,0.39,positive,0.98
12297,handled pressure,Communication,0.57,negative,0.7
12298,handled pressure,Leadership,0.64,negative,0.69
12299,managed deadlines,Problem Solving,0.43,negative,0.7
12300,managed deadlines,Leadership,0.14,positive,0.84
12301,managed deadlines,Adaptability,0.24,negative,0.93
12302,resolved conflicts,Adaptability,0.01,negative,0.9
12303,handled pressure,Communication,0.55,positive,0.62
12304,managed deadlines,Communication,0.36,negative,0.63
12305,managed deadlines,Problem Solving,0.3,positive,0.78
12306,resolved conflicts,Leadership,0.6,negative,0.7
12307,collaborated with team,Leadership,0.11,positive,0.85
12308,resolved conflicts,Problem Solving,0.96,positive,0.83
12309,collaborated with team,Adaptability,0.04,positive,0.76
12310,resolved conflicts,Teamwork,0.84,positive,0.83
12311,communicated effectively,Leadership,0.12,negative,0.8
12312,handled pressure,Adaptability,0.94,positive,0.61
12313,resolved conflicts,Communication,0.95,positive,0.95
12314,communicated effectively,Adaptability,0.21,positive,0.8
12315,communicated effectively,Adaptability,0.52,positive,0.88
12316,collaborated with team,Adaptability,0.89,positive,0.67
12317,managed deadlines,Adaptability,0.59,negative,0.82
12318,communicated effectively,Communication,0.07,positive,0.68
12319,resolved conflicts,Problem Solving,0.43,negative,0.78
12320,managed deadlines,Adaptability,0.87,negative,0.7
12321,handled pressure,Leadership,0.02,positive,0.8
12322,handled pressure,Teamwork,0.34,positive,0.87
12323,communicated effectively,Leadership,0.29,positive,0.73
12324,collaborated with team,Communication,0.83,negative,0.92
12325,managed deadlines,Leadership,0.73,positive,0.73
12326,managed deadlines,Teamwork,0.42,positive,0.62
12327,resolved conflicts,Leadership,0.63,negative,0.8
12328,collaborated with team,Adaptability,0.24,negative,0.89
12329,managed deadlines,Problem Solving,0.94,negative,0.96
12330,communicated effectively,Adaptability,0.21,negative,0.87
12331,resolved conflicts,Problem Solving,0.64,negative,0.79
12332,resolved conflicts,Teamwork,0.97,negative,0.63
12333,communicated effectively,Teamwork,0.98,positive,0.8
12334,resolved conflicts,Adaptability,0.08,positive,0.83
12335,collaborated with team,Communication,0.36,negative,0.68
12336,handled pressure,Leadership,0.0,negative,0.99
12337,handled pressure,Leadership,0.94,negative,0.73
12338,communicated effectively,Adaptability,0.07,negative,0.72
12339,managed deadlines,Leadership,0.29,negative,0.73
12340,collaborated with team,Adaptability,0.99,negative,0.97
12341,handled pressure,Communication,0.24,positive,0.68
12342,managed deadlines,Adaptability,0.08,positive,0.75
12343,resolved conflicts,Teamwork,0.99,positive,0.74
12344,communicated effectively,Adaptability,0.03,positive,0.86
12345,managed deadlines,Problem Solving,0.19,positive,0.96
12346,collaborated with team,Communication,0.22,positive,0.73
12347,managed deadlines,Teamwork,0.88,negative,0.78
12348,handled pressure,Adaptability,0.89,negative,0.81
12349,communicated effectively,Adaptability,0.56,negative,0.83
12350,handled pressure,Adaptability,0.46,positive,0.93
12351,handled pressure,Teamwork,0.48,negative,0.91
12352,collaborated with team,Adaptability,0.05,positive,0.71
12353,collaborated with team,Teamwork,0.83,positive,0.95
12354,communicated effectively,Adaptability,0.99,positive,0.78
12355,handled pressure,Problem Solving,0.31,positive,0.78
12356,managed deadlines,Teamwork,0.27,negative,0.82
12357,communicated effectively,Adaptability,0.95,positive,0.76
12358,resolved conflicts,Problem Solving,0.91,negative,0.87
12359,collaborated with team,Problem Solving,0.26,negative,0.88
12360,handled pressure,Problem Solving,0.84,positive,0.93
12361,resolved conflicts,Leadership,0.73,negative,0.98
12362,communicated effectively,Communication,0.3,negative,0.95
12363,managed deadlines,Leadership,0.25,negative,0.68
12364,handled pressure,Problem Solving,0.62,negative,0.9
12365,communicated effectively,Leadership,0.66,negative,0.74
12366,resolved conflicts,Teamwork,0.88,positive,0.74
12367,collaborated with team,Leadership,0.59,negative,0.7
12368,handled pressure,Communication,0.09,positive,0.73
12369,resolved conflicts,Leadership,0.92,positive,0.62
12370,managed deadlines,Problem Solving,0.78,negative,0.7
12371,collaborated with team,Communication,0.27,negative,0.76
12372,resolved conflicts,Communication,0.53,negative,0.64
12373,handled pressure,Adaptability,0.57,negative,0.68
12374,communicated effectively,Leadership,0.14,negative,0.83
12375,handled pressure,Leadership,0.77,negative,0.65
12376,collaborated with team,Teamwork,0.26,positive,0.75
12377,resolved conflicts,Leadership,0.2,positive,0.96
12378,handled pressure,Adaptability,0.84,positive,0.7
12379,resolved conflicts,Problem Solving,0.03,positive,0.73
12380,resolved conflicts,Problem Solving,0.09,positive,0.95
12381,resolved conflicts,Teamwork,0.78,negative,0.64
12382,managed deadlines,Problem Solving,0.69,negative,0.74
12383,collaborated with team,Leadership,0.13,positive,0.68
12384,handled pressure,Communication,0.05,negative,0.83
12385,communicated effectively,Leadership,0.7,negative,0.61
12386,resolved conflicts,Adaptability,0.63,negative,0.88
12387,handled pressure,Communication,0.22,positive,0.62
12388,communicated effectively,Communication,0.64,negative,0.79
12389,communicated effectively,Teamwork,0.11,negative,0.79
12390,managed deadlines,Adaptability,0.62,positive,0.76
12391,resolved conflicts,Adaptability,0.21,positive,0.83
12392,communicated effectively,Communication,0.14,positive,0.74
12393,handled pressure,Teamwork,0.25,negative,0.84
12394,resolved conflicts,Problem Solving,0.66,positive,0.73
12395,managed deadlines,Communication,0.47,positive,0.73
12396,resolved conflicts,Adaptability,0.32,negative,0.93
12397,managed deadlines,Problem Solving,0.16,positive,0.81
12398,collaborated with team,Leadership,0.48,positive,0.74
12399,resolved conflicts,Adaptability,0.35,positive,0.62
12400,resolved conflicts,Communication,0.05,negative,0.75
12401,handled pressure,Leadership,0.75,positive,0.94
12402,handled pressure,Problem Solving,0.22,negative,0.77
12403,handled pressure,Adaptability,0.87,positive,0.94
12404,handled pressure,Leadership,0.38,positive,0.86
12405,handled pressure,Problem Solving,0.7,positive,0.69
12406,resolved conflicts,Leadership,0.76,positive,0.89
12407,resolved conflicts,Teamwork,0.85,positive,0.95
12408,managed deadlines,Leadership,0.01,negative,0.89
12409,communicated effectively,Adaptability,0.56,positive,0.8
12410,collaborated with team,Adaptability,0.89,positive,0.81
12411,collaborated with team,Leadership,0.93,negative,0.62
12412,communicated effectively,Adaptability,0.79,positive,0.9
12413,handled pressure,Leadership,0.39,positive,0.83
12414,communicated effectively,Leadership,0.3,negative,0.86
12415,handled pressure,Leadership,0.16,positive,0.74
12416,collaborated with team,Problem Solving,0.01,positive,0.82
12417,handled pressure,Problem Solving,0.12,positive,0.64
12418,communicated effectively,Leadership,0.11,positive,0.96
12419,collaborated with team,Teamwork,0.24,positive,0.82
12420,managed deadlines,Teamwork,0.19,positive,0.75
12421,handled pressure,Leadership,0.73,negative,0.95
12422,managed deadlines,Leadership,0.25,positive,0.78
12423,communicated effectively,Teamwork,0.21,positive,0.71
12424,resolved conflicts,Leadership,0.4,negative,0.72
12425,communicated effectively,Teamwork,0.97,positive,0.94
12426,managed deadlines,Teamwork,0.63,positive,0.75
12427,handled pressure,Teamwork,0.57,negative,0.91
12428,resolved conflicts,Communication,0.29,negative,0.89
12429,managed deadlines,Teamwork,0.53,positive,0.99
12430,communicated effectively,Adaptability,0.39,negative,0.96
12431,handled pressure,Communication,0.62,positive,0.63
12432,communicated effectively,Communication,0.83,negative,0.66
12433,communicated effectively,Adaptability,0.98,negative,0.84
12434,communicated effectively,Leadership,0.93,positive,0.86
12435,resolved conflicts,Problem Solving,0.06,negative,0.86
12436,resolved conflicts,Communication,0.14,negative,0.82
12437,collaborated with team,Problem Solving,0.15,negative,0.7
12438,communicated effectively,Communication,0.85,negative,0.93
12439,handled pressure,Adaptability,0.3,positive,0.86
12440,resolved conflicts,Teamwork,0.94,negative,0.99
12441,collaborated with team,Problem Solving,0.03,negative,0.75
12442,communicated effectively,Teamwork,0.05,negative,0.92
12443,collaborated with team,Leadership,0.89,negative,0.75
12444,handled pressure,Adaptability,0.93,positive,0.68
12445,communicated effectively,Teamwork,0.49,negative,0.69
12446,collaborated with team,Problem Solving,0.88,positive,0.81
12447,resolved conflicts,Leadership,0.17,negative,0.72
12448,communicated effectively,Leadership,0.4,negative,0.67
12449,handled pressure,Adaptability,0.43,negative,0.94
12450,collaborated with team,Communication,0.34,negative,0.76
12451,handled pressure,Problem Solving,0.35,positive,0.85
12452,resolved conflicts,Leadership,0.57,positive,0.94
12453,managed deadlines,Teamwork,0.32,positive,0.76
12454,handled pressure,Leadership,0.07,positive,0.76
12455,communicated effectively,Problem Solving,0.39,negative,0.67
12456,communicated effectively,Communication,0.59,positive,0.61
12457,collaborated with team,Problem Solving,0.6,negative,0.91
12458,handled pressure,Adaptability,0.55,negative,0.68
12459,collaborated with team,Communication,0.77,positive,0.64
12460,collaborated with team,Problem Solving,0.45,positive,0.92
12461,managed deadlines,Leadership,0.34,negative,0.69
12462,managed deadlines,Teamwork,0.92,positive,0.78
12463,managed deadlines,Communication,0.0,positive,0.71
12464,communicated effectively,Adaptability,0.83,positive,0.64
12465,collaborated with team,Problem Solving,0.62,positive,0.88
12466,resolved conflicts,Leadership,0.18,positive,0.81
12467,communicated effectively,Teamwork,0.4,positive,0.63
12468,communicated effectively,Problem Solving,0.72,positive,0.98
12469,managed deadlines,Communication,0.22,negative,0.64
12470,communicated effectively,Communication,0.69,negative,0.73
12471,resolved conflicts,Communication,1.0,positive,0.65
12472,handled pressure,Adaptability,0.2,negative,0.71
12473,collaborated with team,Problem Solving,0.06,positive,0.62
12474,resolved conflicts,Teamwork,0.83,negative,0.95
12475,communicated effectively,Problem Solving,0.58,negative,0.64
12476,communicated effectively,Problem Solving,0.6,positive,0.75
12477,resolved conflicts,Leadership,0.52,positive,0.92
12478,collaborated with team,Leadership,0.09,positive,0.82
12479,managed deadlines,Problem Solving,0.92,positive,0.66
12480,managed deadlines,Problem Solving,0.72,negative,0.65
12481,managed deadlines,Problem Solving,0.39,negative,0.67
12482,managed deadlines,Problem Solving,0.93,positive,0.76
12483,resolved conflicts,Leadership,0.73,negative,0.88
12484,collaborated with team,Teamwork,0.32,positive,0.71
12485,resolved conflicts,Communication,0.28,negative,0.68
12486,communicated effectively,Adaptability,0.42,positive,0.65
12487,collaborated with team,Problem Solving,0.67,positive,0.73
12488,managed deadlines,Adaptability,0.96,negative,0.68
12489,communicated effectively,Communication,0.56,positive,0.65
12490,collaborated with team,Communication,0.87,negative,0.66
12491,communicated effectively,Communication,0.94,positive,0.67
12492,communicated effectively,Problem Solving,0.15,positive,0.62
12493,managed deadlines,Teamwork,0.22,positive,0.68
12494,managed deadlines,Teamwork,0.64,positive,0.63
12495,resolved conflicts,Leadership,0.2,positive,0.79
12496,collaborated with team,Teamwork,0.36,negative,0.78
12497,resolved conflicts,Teamwork,0.1,positive,0.96
12498,collaborated with team,Teamwork,0.63,negative,0.75
12499,collaborated with team,Leadership,0.25,positive,0.84
12500,handled pressure,Adaptability,0.67,negative,0.86
12501,handled pressure,Problem Solving,0.03,positive,0.63
12502,handled pressure,Problem Solving,0.76,negative,0.86
12503,communicated effectively,Communication,0.4,positive,0.87
12504,resolved conflicts,Problem Solving,0.5,positive,0.9
12505,resolved conflicts,Leadership,0.08,positive,0.82
12506,collaborated with team,Adaptability,0.48,negative,0.71
12507,communicated effectively,Leadership,0.78,positive,0.93
12508,managed deadlines,Problem Solving,0.95,negative,0.78
12509,collaborated with team,Communication,0.2,positive,0.82
12510,handled pressure,Problem Solving,0.62,negative,0.98
12511,managed deadlines,Problem Solving,0.86,negative,0.98
12512,managed deadlines,Leadership,0.75,positive,0.63
12513,communicated effectively,Problem Solving,0.75,positive,0.75
12514,communicated effectively,Communication,0.84,negative,0.61
12515,handled pressure,Adaptability,0.93,negative,0.75
12516,managed deadlines,Communication,0.13,negative,0.73
12517,handled pressure,Communication,0.75,negative,0.7
12518,communicated effectively,Communication,0.8,negative,0.83
12519,communicated effectively,Teamwork,0.72,positive,0.91
12520,collaborated with team,Leadership,0.65,positive,0.96
12521,handled pressure,Leadership,0.17,negative,0.68
12522,resolved conflicts,Adaptability,0.35,negative,0.92
12523,handled pressure,Communication,0.66,negative,0.79
12524,collaborated with team,Teamwork,0.78,negative,0.89
12525,communicated effectively,Leadership,0.98,negative,0.71
12526,collaborated with team,Problem Solving,0.04,negative,0.63
12527,managed deadlines,Adaptability,0.85,positive,0.78
12528,collaborated with team,Communication,0.17,negative,0.67
12529,communicated effectively,Problem Solving,0.4,negative,0.89
12530,handled pressure,Problem Solving,0.81,positive,0.65
12531,communicated effectively,Adaptability,0.06,positive,0.67
12532,communicated effectively,Problem Solving,0.19,negative,0.85
12533,communicated effectively,Communication,0.29,positive,0.64
12534,handled pressure,Teamwork,0.9,negative,0.71
12535,resolved conflicts,Communication,0.06,negative,0.62
12536,communicated effectively,Problem Solving,0.8,positive,0.88
12537,handled pressure,Problem Solving,0.68,negative,0.95
12538,handled pressure,Adaptability,0.92,positive,0.96
12539,communicated effectively,Leadership,0.84,positive,0.67
12540,communicated effectively,Teamwork,0.17,negative,0.64
12541,collaborated with team,Adaptability,0.9,positive,0.73
12542,collaborated with team,Adaptability,0.51,negative,0.87
12543,managed deadlines,Leadership,0.77,negative,0.75
12544,handled pressure,Adaptability,0.78,positive,0.95
12545,handled pressure,Adaptability,0.82,positive,0.85
12546,managed deadlines,Adaptability,0.01,negative,0.78
12547,collaborated with team,Teamwork,0.79,negative,0.69
12548,managed deadlines,Leadership,0.97,negative,0.7
12549,collaborated with team,Adaptability,0.16,positive,0.82
12550,handled pressure,Leadership,0.52,negative,0.78
12551,collaborated with team,Problem Solving,0.84,positive,0.75
12552,managed deadlines,Teamwork,0.15,negative,0.62
12553,managed deadlines,Communication,0.6,positive,0.74
12554,managed deadlines,Teamwork,0.61,positive,0.87
12555,managed deadlines,Adaptability,0.15,positive,0.94
12556,communicated effectively,Leadership,0.54,negative,0.62
